"Motor","Tahun","Harga","Alamat"
"Dijual Cepat Motor Listrik Tangkas - Uwinfly P6 (Tangan Pertama)","2022","Rp 7.000.000","Pondok Melati, Bekasi Kota"
"Yamaha X Ride 2018 Black","2018","Rp 8.500.000","Pulo Gadung, Jakarta Timur"
"Jual fino premium thn 2019","2019","Rp 9.900.000","Makasar, Jakarta Timur"
"Suzuki Satria Injeksi 150 th 2018","2018","Rp 9.700.000","Duren Sawit, Jakarta Timur"
"Uwinfly T3S New On The Road","2023","Rp 10.000.000","Pulo Gadung, Jakarta Timur"
"Honda beat street tahun 2018","2018","Rp 10.000.000","Jatiasih, Bekasi Kota"
"Dijual Yamaha Fino grande 2019 mulus","2019","Rp 7.600.000","Bekasi Timur, Bekasi Kota"
"Revo Fi Th.2021","2021","Rp 8.500.000","Makasar, Jakarta Timur"
"Bissmillah dijual motor Honda Beat pop 2018 istimewa","2018","Rp 9.350.000","Pulo Gadung, Jakarta Timur"
"Yamaha MIO 125 2020","2020","Rp 7.500.000","Pondok Gede, Bekasi Kota"
"Mio m3 tahun 2019","2019","Rp 8.200.000","Jatiasih, Bekasi Kota"
"Dijual Yamaha Fino grande 2019","2019","Rp 7.600.000","Cakung, Jakarta Timur"
"Honda Beat Deluxe 2023 (Over Kredit/ Take Over)","2023","Rp 7.000.000","Makasar, Jakarta Timur"
"Mio m3 tahun 2019","2019","Rp 8.200.000","Mustika Jaya, Bekasi Kota"
"Honda Genio.2020, bagus","2020","Rp 9.500.000","Mustika Jaya, Bekasi Kota"
"Honda Genio 2020, milus","2020","Rp 9.500.000","Pondok Gede, Bekasi Kota"
"Honda Genio 2020 lum tembus","2020","Rp 9.500.000","Duren Sawit, Jakarta Timur"
"Yamaha fino 2019 siap pakek plat-B-tangerang","2019","Rp 9.450.000","Duren Sawit, Jakarta Timur"
"Bissmillah dijual motor Honda Beat street 2020 istimewa","2020","Rp 9.950.000","Cakung, Jakarta Timur"
"Beat Street 2018","2018","Rp 9.000.000","Pulo Gadung, Jakarta Timur"
"Honda Vario 2020 150cc Lengkap","2020","Rp 8.000.000","Cakung, Jakarta Timur"
"Honda beat 2019 putih cbs iss surat komplit","2019","Rp 7.000.000","Bekasi Timur, Bekasi Kota"
"Honda Beat 2018 ECO","2018","Rp 8.700.000","Pondok Gede, Bekasi Kota"
"Bissmillah dijual motor Honda beat pop 2018 istimewa","2018","Rp 8.750.000","Pulo Gadung, Jakarta Timur"
"Dijual yamaha mio m3 tahun 2018","2018","Rp 8.750.000","Pondok Gede, Bekasi Kota"
"YAMAHA MIO M3 TH 2019 SIAP PAKE MULUS","2019","Rp 8.900.000","Cakung, Jakarta Timur"
"Motor Yamaha Xride 125 Tahun 2018 Hitam Bekas","2018","Rp 8.500.000","Mustika Jaya, Bekasi Kota"
"Jual beat nego tipis tipis","2019","Rp 9.500.000","Bekasi Timur, Bekasi Kota"
"BISMILAH DI JUAL YAMAHA MIO M3 TH 2019 MULUS","2019","Rp 8.950.000","Cakung, Jakarta Timur"
"MIO SOUL GT 125 REMOT MULUS DAN TERAWAT","2018","Rp 9.650.000","Pulo Gadung, Jakarta Timur"
"Suzuki bandit gsf 150","2018","Rp 9.500.000","Duren Sawit, Jakarta Timur"
"Honda Sc oppy Tahun 2019 Surat Komplit","2019","Rp 7.000.000","Duren Sawit, Jakarta Timur"
"Beat ECO Tahun 2018","2018","Rp 9.000.000","Cakung, Jakarta Timur"
"Beat esp 2019 pajak off","2019","Rp 10.000.000","Jatimakmur, Bekasi Kab."
"Bissmillah Dijual motor Honda Beat pop 2019 istimewaa","2019","Rp 9.350.000","Pulo Gadung, Jakarta Timur"
"Yamaha x ride masi mulus","2019","Rp 9.000.000","Pondok Gede, Bekasi Kota"
"Viar Roda Tiga 2018 tangan pertama dari baru","2018","Rp 8.900.000","Pondok Gede, Bekasi Kota"
"Yamaha fino sporty siap pake","2018","Rp 9.250.000","Duren Sawit, Jakarta Timur"
"Honda Supra X 125 tahun 2018","2018","Rp 8.700.000","Cakung, Jakarta Timur"
"Motor listrik Uwinfly T3","2023","Rp 6.700.000","Duren Sawit, Jakarta Timur"
"Motor Listrik ECGO 2","2022","Rp 8.900.000","Jatiwarna, Bekasi Kota"
"DIJUAL Honda Beat ECO Esp Cbs","2019","Rp 8.700.000","Cakung, Jakarta Timur"
"Honda Vario 110cc 2018","2018","Rp 9.000.000","Bekasi Timur, Bekasi Kota"
"Bissmillah dijual motor Yamaha soul GT 2018 special edition Movistar","2018","Rp 7.850.000","Cakung, Jakarta Timur"
"Gsx 150 bandit 2019","2019","Rp 9.500.000","Bekasi Timur, Bekasi Kota"
"Bissmillah dijual motor Honda Beta pop 2019 istimewa","2019","Rp 9.350.000","Pulo Gadung, Jakarta Timur"
"Bissmillah dijual motor Yamaha soul GT 2018 istimewa","2018","Rp 7.950.000","Pulo Gadung, Jakarta Timur"
"Di jual Yamaha Mio M3 TH 2019 mulus","2019","Rp 8.900.000","Cakung, Jakarta Timur"
"X ride 125 new 2018. STNK hilang","2018","Rp 5.500.000","Medan Satria, Bekasi Kota"
"MIO M3 2018, PJK 12 2023, B DKI, KM 25RB, FULL ORI, GRESS ISTIMEWA","2018","Rp 8.950.000","Makasar, Jakarta Timur"
"MIO M3 2018, PJK 12 2023, B DKI, KM 28RB, FULL ORI, LIKE NEW","2018","Rp 8.950.000","Jatinegara, Jakarta Timur"
"Honda Beat FI tahun 2019","2019","Rp 8.900.000","Cakung, Jakarta Timur"
"Suzuki Satria FU tahun 2018","2018","Rp 8.800.000","Cakung, Jakarta Timur"
"Yamaha Lexi tahun 2018","2018","Rp 9.500.000","Jatiasih, Bekasi Kota"
"DIJUAL YAMAHA MIO M3 125 TAHUN 2018 MOTOR ISTIMEWA","2018","Rp 8.750.000","Cakung, Jakarta Timur"
"Volta 401 Regular gen 2","2022","Rp 8.500.000","Cakung, Jakarta Timur"
"Motor listrik T3 Super Uwinfly","2022","Rp 7.500.000","Jatiwarna, Bekasi Kota"
"Jual supra125 FI CW diskbrake 2018","2018","Rp 8.000.000","Kelapa Gading, Jakarta Utara"
"Honda Beat Pop FI tahun 2019","2019","Rp 8.800.000","Cakung, Jakarta Timur"
"Suzuki nex tahun 2019 pajak hidup","2019","Rp 9.450.000","Pondok Gede, Bekasi Kota"
"MIO 125 M3 2018 MANTAP LIKE NEW","2018","Rp 9.700.000","Cakung, Jakarta Timur"
"Motor mini 50cc. 4 tak. Metic","2023","Rp 6.100.000","Duren Sawit, Jakarta Timur"
"Motor Listrik UWinfly T3","2023","Rp 9.000.000","Jatiwarna, Bekasi Kota"
"Yamaha Soul GT125","2018","Rp 9.500.000","Pulo Gadung, Jakarta Timur"
"Bismillah jual Yamaha Mio 2019","2019","Rp 7.200.000","Bekasi Timur, Bekasi Kota"
"Honda beat eco tahun 2018","2018","Rp 8.400.000","Jatiasih, Bekasi Kota"
"Jialing kancil/motor antik /clasik","2023","Rp 7.000.000","Jatinegara, Jakarta Timur"
"Smoot tempur 2022","2022","Rp 9.500.000","Bekasi Timur, Bekasi Kota"
"Smoot Tempur Biru","2023","Rp 9.500.000","Pulo Gadung, Jakarta Timur"
"SEPEDA LISTRIK BEKAS VIAR C2 + Battery litium 48V 30Ah","2022","Rp 7.000.000","Makasar, Jakarta Timur"
"Mio S 125cc komplit surat surat lengkap","2019","Rp 7.900.000","Jatimakmur, Bekasi Kab."
"BI: YAMAHA MIO M3 2019 B DEPOK DP 1,5 JT  MESIN SEHAT","2019","Rp 10.000.000","Jatimulya, Depok Kota"
"Honda Beat FI tahun 2018","2018","Rp 8.800.000","Cakung, Jakarta Timur"
"Honda Beat ESP 2018","2018","Rp 7.950.000","Bantar Gebang, Bekasi Kota"
"[RINGAN] Yamaha Fino Kredit 600an / bln","2018","Rp 10.000.000","Jatinegara, Jakarta Timur"
"DIJUAL YAMAHA MIO M3 125 TAHUN 2018 ISTIMEWA","2018","Rp 8.850.000","Pondok Gede, Bekasi Kota"
"Honda Vario 110","2019","Rp 9.800.000","Duren Sawit, Jakarta Timur"
"Honda beat thn 2018 akhir","2018","Rp 9.900.000","Mustika Jaya, Bekasi Kota"
"Motor listrik e9 v3","2023","Rp 9.500.000","Jatiasih, Bekasi Kota"
"Motor custom kawasaki bratcafe scrambler pulsar 220","2023","Rp 9.400.000","Duren Sawit, Jakarta Timur"
"Yamaha Fino Kredit 600an / bln {Ringan}","2018","Rp 10.000.000","Makasar, Jakarta Timur"
"Mio S 2020 Low KM","2020","Rp 9.700.000","Jatiasih, Bekasi Kota"
"MIO S  FOR SALE","2019","Rp 9.500.000","Tambun Selatan, Bekasi Kab."
"Yamaha Fino` Kredit (Murah) 600an / bln","2018","Rp 10.000.000","Makasar, Jakarta Timur"
"Motor Listrik Merk Selis Neo Scootic Kondisi baru","2023","Rp 9.000.000","Pondok Gede, Bekasi Kota"
"Motor Dan Sepeda Listrik YADEA","2023","Rp 6.500.000","Kelapa Gading, Jakarta Utara"
"BEAT STREET 2018 MURAH","2018","Rp 8.500.000","Jatiasih, Bekasi Kota"
"Yamaha Mio Soul GT 125","2018","Rp 7.500.000","Duren Sawit, Jakarta Timur"
"xride2018 kredit proses cukup KTP&KK","2018","Rp 9.500.000","Pulo Gadung, Jakarta Timur"
"Honda beat eco tahun 2018","2018","Rp 9.000.000","Jatiasih, Bekasi Kota"
"Yamaha Fino injeksi tahun 2018 free banyak boss kuhh cash credit","2018","Rp 9.900.000","Mustika Jaya, Bekasi Kota"
"Jual Honda Revo Fi","2018","Rp 6.750.000","Pondok Gede, Bekasi Kota"
"LAGI NYARI Mio S th 2018/19 yg km rendah","2019","Rp 8.500.000","Jatinegara, Jakarta Timur"
"Yamaha Fino injeksi tahun 2018 free ban baru boss kuhh cash credit","2018","Rp 9.900.000","Pondok Gede, Bekasi Kota"
"Honda Revo fit 2022. (Kredit 500an per bulan..)'","2022","Rp 10.000.000","Makasar, Jakarta Timur"
"Dijual Mio M3 merah marun tahun 2018","2018","Rp 6.800.000","Cakung, Jakarta Timur"
"Tvs dazz super milus","2019","Rp 7.500.000","Mustika Jaya, Bekasi Kota"
"Honda Supra x Tahun 2018","2018","Rp 9.600.000","Duren Sawit, Jakarta Timur"
"Honda Supra X 125 2018- Normal Siap Pakai","2018","Rp 7.990.000","Cempaka Putih, Jakarta Pusat"
"Yamaha Fino 2018 FI 125","2018","Rp 7.800.000","Cempaka Putih, Jakarta Pusat"
"Motor listrik Uwinfly T3 Pro","2023","Rp 10.000.000","Jagakarsa, Jakarta Selatan"
"Di jual beat esp 2018","2018","Rp 10.000.000","Pademangan, Jakarta Utara"
"Honda vario 150cc ss lengkap","2020","Rp 8.000.000","Pasar Minggu, Jakarta Selatan"
"Honda beat 2019 ss lengkap","2019","Rp 6.500.000","Cilandak, Jakarta Selatan"
"Beat Eco 2018 Pajak Hidup","2018","Rp 9.900.000","Bantar Gebang, Bekasi Kota"
"YAMAHA MIO M3 2018","2018","Rp 8.250.000","Tebet, Jakarta Selatan"
"Honda vario 150cc ss lengkap","2020","Rp 8.000.000","Mampang Prapatan, Jakarta Selatan"
"YAMAHA MIO S 2020 PAJAK HIDUP, PLAT JAKARTA, SURAT LENGKAP ISTIMEWA","2020","Rp 9.700.000","Kelapa Gading, Jakarta Utara"
"DIJUAL YAMAHA MIO M3 TAHUN 2018","2018","Rp 8.850.000","Cipayung, Jakarta Timur"
"Dijual yamaha mio m3 125cc tahun 2018","2018","Rp 8.850.000","Cibubur, Jakarta Timur"
"DIJUAL YAMAHA MIO M3 125 TAHUN 2018 GRESS","2018","Rp 8.850.000","Pasar Baru, Jakarta Pusat"
"Yamaha Fino tahun 2019 ss lengkap","2019","Rp 6.500.000","Cibitung, Bekasi Kab."
"Dijual Suzuki Nex fi thn 2019","2019","Rp 10.000.000","Cipayung, Jakarta Timur"
"Honda beat eco tahun 2018 ss lengkap","2018","Rp 9.200.000","Cibitung, Bekasi Kab."
"JUAL CEPAT FREEGO LENGKAP DKI NEGO","2019","Rp 9.500.000","Cimanggis, Depok Kota"
"Honda beat eco tahun 2019 ss lengkap","2019","Rp 9.200.000","Cibitung, Bekasi Kab."
"Honda beat eco tahun 2018 pajak on","2018","Rp 9.600.000","Cibitung, Bekasi Kab."
"Honda beat eco tahun 2019 ss lengkap","2019","Rp 9.600.000","Cibitung, Bekasi Kab."
"Yamaha Xride 2018","2018","Rp 9.000.000","Setia Budi, Jakarta Selatan"
"HONDA REVO FIT TAHUN 2019","2019","Rp 5.900.000","Pancoran, Jakarta Selatan"
"Honda Beat 2018","2018","Rp 10.000.000","Kalisari, Jakarta Timur"
"Dijual honda revo x FI 2018","2018","Rp 7.200.000","Bantar Gebang, Bekasi Kota"
"Beat ECO 2019 pajak off","2019","Rp 9.000.000","Cikarang Utara, Bekasi Kab."
"Revo fit 2020 lengkap","2020","Rp 7.000.000","Tanjung Priok, Jakarta Utara"
"Honda Genio tahun 2020 ss lengkap","2020","Rp 10.000.000","Cikarang Selatan, Bekasi Kab."
"Honda Beat ISS 2018","2018","Rp 9.900.000","Taman Sari, Jakarta Barat"
"FINO FI PREMIUM 2019 SIAP PAKAIDP500","2019","Rp 10.000.000","Kemayoran, Jakarta Pusat"
"Beat eco 2019 orisinil","2019","Rp 9.750.000","Pasar Minggu, Jakarta Selatan"
"Mio Gear 2021 merah merona","2021","Rp 9.500.000","Sukmajaya, Depok Kota"
"Dijual Yamaha Fino grande 125 2019","2019","Rp 7.600.000","Tambun Utara, Bekasi Kab."
"Dijual Yamaha Fino grande 125 2019","2019","Rp 7.600.000","Cibitung, Bekasi Kab."
"Motor listrik uwinfly t3s silver","2023","Rp 6.900.000","Kramat Jati, Jakarta Timur"
"YAMAHA MIO Z 2018","2018","Rp 9.900.000","Kemayoran, Jakarta Pusat"
"Yamaha fino Grande 2019 ors normal semua dari baru","2019","Rp 8.700.000","Mampang Prapatan, Jakarta Selatan"
"Motor listrik uwinfly T3S","2023","Rp 8.500.000","Cempaka Putih, Jakarta Pusat"
"Yamaha Mio M3 125 Thn 2019","2019","Rp 9.500.000","Kelapa Gading, Jakarta Utara"
"Motor Listrik Volta","2021","Rp 5.000.000","Sawah Besar, Jakarta Pusat"
"Mio m3 tahun 2019.","2019","Rp 8.200.000","Setu, Bekasi Kab."
"Yamaha Jupiter Z1 125cc ymjet_fi tahun 2019 {TT Blade,Revo,}","2019","Rp 7.950.000","Cibubur, Jakarta Timur"
"Yamaha Mio M3 125cc Bluecore Fi Tahun 2019 TT Mio, Beat, Soul","2019","Rp 7.950.000","Kramat Jati, Jakarta Timur"
"Yamaha Gear 125cc Bluecore Tahun 2021 TT Mio, Beat, Vario","2021","Rp 8.500.000","Kramat Jati, Jakarta Timur"
"Motor Listrik Uwinfly T3 Kondisi Mulus Seperti Baru","2023","Rp 8.000.000","Cilandak, Jakarta Selatan"
